created_at,id,supplier_city,total_amount,total_tax_amount,payment_type,supplier_name,id,Record Count
"Sep 17, 2025, 9:25:15?PM",804645c4-9987-41c3-9b10-364a1e5a0e32,MISSISSAUGA,176.51,18.2,VISA,TOYS'R'US BABIES'R'US,804645c4-9987-41c3-9b10-364a1e5a0e32,1
"Aug 8, 2025, 2:55:45?AM",7d7cf98f-d7c9-4ad6-80d0-4abee2ba1c74,Whitby,56.49,6.5,Cash,RONA,7d7cf98f-d7c9-4ad6-80d0-4abee2ba1c74,1
"Aug 18, 2025, 2:48:56?AM",314d1e25-a13f-4d9d-81b8-fa96165d0b49,null,11.3,null,DEBIT,NANTHA CATERING,314d1e25-a13f-4d9d-81b8-fa96165d0b49,1
"Aug 13, 2025, 10:57:51?PM",b7546bf0-eb6f-4237-a36e-c6069706d73f,EAST WINDSOR,13.3,0.46,VISA,Walmart,b7546bf0-eb6f-4237-a36e-c6069706d73f,1
"Sep 15, 2025, 11:17:10?PM",41d3386d-a294-48b5-97db-548814c7898c,null,69.12,4.4,DEBIT,WHITE FEATHER COUNTRY STORE,41d3386d-a294-48b5-97db-548814c7898c,1
"Aug 29, 2025, 2:22:49?AM",16ef2ae0-74e9-4a91-ab59-bd18920ce088,WHITBY,91.65,0,VISA,SCADDABUSH WHITBY,16ef2ae0-74e9-4a91-ab59-bd18920ce088,1
"Aug 12, 2025, 9:19:52?PM",edc8051c-9d29-49d9-91bd-a8b11ba8cc57,MIAMI,0,0,,ASTRID COSSIO,edc8051c-9d29-49d9-91bd-a8b11ba8cc57,1
"Sep 6, 2025, 11:39:58?PM",52526b30-ae8c-4b41-a4dc-29a5470ee783,null,55.31,null,null,himedepot,52526b30-ae8c-4b41-a4dc-29a5470ee783,1
"Sep 20, 2025, 6:18:22?PM",01c8e89e-90d6-48fd-a916-87034a4da925,Oshawa,90.01,0.39,visa,Byrava Supermarket,01c8e89e-90d6-48fd-a916-87034a4da925,1
"Sep 15, 2025, 11:17:43?PM",f9d18c99-1ab7-4cb2-a7be-a8a3bc9b652d,Oshawa,30.48,3.51,VISA,Canadian Tire,f9d18c99-1ab7-4cb2-a7be-a8a3bc9b652d,1
"Sep 17, 2025, 9:40:14?PM",e9a9eef3-b150-4bb4-b25a-ba238c93b0f0,,201.73,0,DEBIT,COSTCO,e9a9eef3-b150-4bb4-b25a-ba238c93b0f0,1
"Aug 30, 2025, 12:45:21?PM",41a7dc6a-528b-4ad3-bfbe-4619590999f0,null,44.1,0,Visa,DUFRY,41a7dc6a-528b-4ad3-bfbe-4619590999f0,1
"Aug 17, 2025, 12:27:45?AM",97065540-60bb-4e7c-924d-16587e46bfac,Robbinsville,44.06,0,VISA,MASSIMO'S,97065540-60bb-4e7c-924d-16587e46bfac,1
"Sep 5, 2025, 7:17:03?PM",dbac6251-b5ec-4d34-b4a6-23bdaf5b3a7e,Oshawa,770.28,88.62,Visa,Speedy Auto Service,dbac6251-b5ec-4d34-b4a6-23bdaf5b3a7e,1
"Sep 8, 2025, 3:30:09?AM",fbedcc81-7704-4bcd-8346-0f15e351bbf4,null,35.68,null,null,Carters,fbedcc81-7704-4bcd-8346-0f15e351bbf4,1
"Aug 31, 2025, 1:28:35?AM",ff4bf154-4502-4c87-a756-a0c2d7c69b95,,37.51,0.35,DEBIT,METRO,ff4bf154-4502-4c87-a756-a0c2d7c69b95,1
"Aug 30, 2025, 9:08:33?PM",83773755-16d9-4098-b303-5f9555d00677,BROOKLIN,9.02,1.04,DEBIT,HOME DEPOT,83773755-16d9-4098-b303-5f9555d00677,1
"Aug 19, 2025, 8:32:07?PM",4735b202-0ea0-40f2-b599-c7441d70171b,null,2592.22,298.22,null,Apple,4735b202-0ea0-40f2-b599-c7441d70171b,1
"Aug 13, 2025, 10:49:48?PM",c1718fc5-f799-4e71-a36f-4e2e3fd0a0fa,EAST WINDSOR,9.97,0,Credit Card,PATIDAR SUPERMARKET,c1718fc5-f799-4e71-a36f-4e2e3fd0a0fa,1
"Aug 12, 2025, 7:29:29?PM",ce01eb11-4324-4025-9c6b-f50bb594efec,OSHANA NORTH,90.58,10.43,VISA,CANADIAN FIRE,ce01eb11-4324-4025-9c6b-f50bb594efec,1
"Aug 14, 2025, 12:28:00?AM",f65629ab-51ce-4982-be55-e2969168491d,null,400,null,null,Iris day care,f65629ab-51ce-4982-be55-e2969168491d,1
"Sep 15, 2025, 11:18:34?PM",263fedba-9408-42c2-8097-7038f4b05612,Oshawa,460.81,19.39,MasterCard,COSTCO WHOLESALE,263fedba-9408-42c2-8097-7038f4b05612,1
"Sep 11, 2025, 2:41:55?AM",42f98deb-801e-4116-8688-35d53ed396ff,Courtice,52.68,5.72,VISA,Dosa Eatery & Shake Therapy,42f98deb-801e-4116-8688-35d53ed396ff,1
"Aug 29, 2025, 2:20:16?AM",1d5f53fc-7dd9-4d18-9373-99e37725954f,null,125,null,null,Washer repair,1d5f53fc-7dd9-4d18-9373-99e37725954f,1
"Aug 19, 2025, 8:21:24?PM",510324eb-7c58-48c6-972b-a288c4e7e3d0,Oshawa,26.5,3.05,DEBIT CARD,Wilson Foods Kingsway,510324eb-7c58-48c6-972b-a288c4e7e3d0,1
"Aug 11, 2025, 10:07:02?PM",92e85959-40db-43df-95c8-19bff88ffee8,North York,8.99,1.03,,Canadian Thai,92e85959-40db-43df-95c8-19bff88ffee8,1
"Sep 17, 2025, 9:32:04?PM",c328003f-1c0c-4d00-a8f5-c55bd24a7c57,BRAMPTON,7.91,0.91,VISA,DALCHINI,c328003f-1c0c-4d00-a8f5-c55bd24a7c57,1
"Aug 18, 2025, 2:44:26?AM",580a0e8e-6c93-41ae-8d6f-f4fa05cae95d,Oshawa,34.02,2.92,DEBIT,Walmart,580a0e8e-6c93-41ae-8d6f-f4fa05cae95d,1
"Aug 17, 2025, 6:37:56?PM",baa57705-7ec7-44b1-a5e8-0a135fc6f8fa,OSHAWA,14.44,0,DEBIT,WAHID SUPERMARKET AND HA,baa57705-7ec7-44b1-a5e8-0a135fc6f8fa,1
"Aug 13, 2025, 7:12:05?PM",e0f1c2c0-60a4-43e9-ad51-cb3c5fe64d99,Oshawa,17.91,2.06,DEBIT CARD,McDonald's,e0f1c2c0-60a4-43e9-ad51-cb3c5fe64d99,1
"Sep 16, 2025, 7:25:08?PM",7160eb11-e40f-44b7-af89-e7ef20140a4c,OSHAWA,18.4,0,DEBIT,WAHID SUPERMARKET AND HA,7160eb11-e40f-44b7-af89-e7ef20140a4c,1
"Aug 24, 2025, 4:30:41?PM",523ef205-9a0c-47f5-b8b5-b580ce5f1fa8,Oshawa,200,0,Withdrawal,Scotiabank,523ef205-9a0c-47f5-b8b5-b580ce5f1fa8,1
"Aug 13, 2025, 10:56:13?PM",5fbf314a-f173-430b-9a25-de147b30140f,Oshawa,43.13,0.36,DEBIT,Walmart,5fbf314a-f173-430b-9a25-de147b30140f,1
"Aug 16, 2025, 6:24:57?PM",df683175-8acd-4af4-999f-c48a06806330,WHITBY,364.35,0,null,THE REGIONAL MUNICIPALITY OF DURHAM,df683175-8acd-4af4-999f-c48a06806330,1
"Aug 26, 2025, 1:03:15?PM",3a9da0a9-e034-4f5a-b358-421322f94765,Oshawa,125.32,0,debit,Byrava Supermarket,3a9da0a9-e034-4f5a-b358-421322f94765,1
"Sep 8, 2025, 3:30:57?AM",cc17b206-fd4a-44d1-be33-d37a3bf24dc4,null,44.56,null,null,Walmart,cc17b206-fd4a-44d1-be33-d37a3bf24dc4,1
"Aug 12, 2025, 8:56:37?PM",4e8c0f35-a984-4ea4-994a-0a9557b25c38,null,2345,null,CASH,WALMART,4e8c0f35-a984-4ea4-994a-0a9557b25c38,1
"Sep 18, 2025, 5:52:02?PM",a68865be-4f30-4c7c-9f8c-17b859372257,Oshawa,87.21,3.78,VISA CREDIT,Walmart,a68865be-4f30-4c7c-9f8c-17b859372257,1
"Sep 17, 2025, 9:22:57?PM",dfd9e75d-77bc-4598-ad73-6db091178332,KITCHENER,208.25,18.67,DEBIT,COSTCO WHOLESALE,dfd9e75d-77bc-4598-ad73-6db091178332,1
"Sep 17, 2025, 9:27:06?PM",f4d98277-871c-4b8d-9905-b3c0877c006f,MISSISSAUGA,370.57,17.12,VISA,COSTCO WHOLESALE,f4d98277-871c-4b8d-9905-b3c0877c006f,1
"Aug 13, 2025, 7:13:37?PM",4a0bb7eb-9981-4a3c-ae13-29cc10badff7,OSHAWA,20.07,0,INTERAC,PIZZA PIZZA # 272,4a0bb7eb-9981-4a3c-ae13-29cc10badff7,1
"Aug 29, 2025, 2:25:20?AM",6b085fcf-8134-4740-aeef-d927ac958969,Oshawa,32.38,3.38,Debit Card,Great Clips,6b085fcf-8134-4740-aeef-d927ac958969,1
"Aug 23, 2025, 11:24:38?AM",078761c2-c7f3-446b-9785-e93b8cc083a5,null,85,null,,Kids Dress Whitby,078761c2-c7f3-446b-9785-e93b8cc083a5,1
"Aug 8, 2025, 2:40:07?AM",369cbc5b-c52c-47c5-96e9-3ad048b8a7fd,AJAX,123.37,7.27,Visa Credit,Walmart,369cbc5b-c52c-47c5-96e9-3ad048b8a7fd,1
"Sep 24, 2025, 1:42:40?AM",143335ed-4466-4cbe-a144-0aba366c3a00,SUDBURY,85.75,0,VISA,CGS-TRANSIT KIOSK,143335ed-4466-4cbe-a144-0aba366c3a00,1
"Sep 1, 2025, 11:47:25?AM",2e3fe786-8c48-4df6-bded-949a5db6b519,OSHAWA,60.93,4.96,WM GIFT CARD & DEBIT,Walmart,2e3fe786-8c48-4df6-bded-949a5db6b519,1
"Aug 17, 2025, 6:39:11?PM",6e8dcc18-d2a9-4618-9528-12d213b0a5ec,Oshawa,105.98,13,DEBIT,Walmart,6e8dcc18-d2a9-4618-9528-12d213b0a5ec,1
"Sep 1, 2025, 5:38:19?PM",dcc24a06-47d8-411e-a864-68276602b076,,21,0,,Fries blue mountain,dcc24a06-47d8-411e-a864-68276602b076,1
"Aug 10, 2025, 6:12:12?PM",16178570-5c3b-4398-88d6-f3ae28a89b41,OSHAWA,29.27,0,VISA,POPULAR PIZZA(OSHAWA),16178570-5c3b-4398-88d6-f3ae28a89b41,1
"Sep 16, 2025, 7:26:23?PM",324ca7a5-30e8-43df-be01-b27adc23678c,Oshawa,41.83,0,Debit card,SkyFarm Food Mart,324ca7a5-30e8-43df-be01-b27adc23678c,1
"Sep 17, 2025, 9:23:45?PM",b2c07086-1087-47f2-8c83-aa69ec914431,BURLINGTON,119.75,13.78,VISA,IKEA,b2c07086-1087-47f2-8c83-aa69ec914431,1
"Sep 17, 2025, 9:19:37?PM",d06d5a94-1a60-41cb-977c-09f313cc88a6,BRAMPTON,10.44,1.2,VISA,ESSO CIRCLE K,d06d5a94-1a60-41cb-977c-09f313cc88a6,1
"Aug 18, 2025, 2:49:23?AM",867cf9fe-693e-4407-950c-9f9a6b92c6c2,null,1.58,null,DEBIT,TEA,867cf9fe-693e-4407-950c-9f9a6b92c6c2,1
"Sep 17, 2025, 9:20:53?PM",ee0ec601-bbe2-483a-9293-76d6135cd433,BRAMPTON,45.07,5.18,VISA,PETRO-CANADA,ee0ec601-bbe2-483a-9293-76d6135cd433,1
"Sep 8, 2025, 3:11:53?AM",a23f6a39-16f8-4670-92c0-c49d73d98cb0,null,29.19,null,null,Vinland,a23f6a39-16f8-4670-92c0-c49d73d98cb0,1
"Aug 15, 2025, 1:37:59?AM",96b074ad-d668-487e-afac-32ab6fe6ef3a,,33.95,0,Pre-authorized payments,ENBRIDGE,96b074ad-d668-487e-afac-32ab6fe6ef3a,1
"Sep 3, 2025, 2:15:10?PM",e23b25df-3ee0-48e1-867b-fffc966ca37a,null,26.66,null,null,407Express,e23b25df-3ee0-48e1-867b-fffc966ca37a,1
"Aug 8, 2025, 5:29:59?AM",9c83240a-496e-4a09-8920-11ca59c567db,Oshawa,125,8.45,Mastercard,COSTCO,9c83240a-496e-4a09-8920-11ca59c567db,1
"Aug 23, 2025, 3:27:52?AM",01cc1860-dc55-43c9-bd37-d9357a6be346,,26.99,0,VISA,407 ETR,01cc1860-dc55-43c9-bd37-d9357a6be346,1
"Sep 17, 2025, 9:13:58?PM",83594fbd-9cd8-47db-ba9c-299cadc1b2e1,null,16.55,null,null,manual home depot ,83594fbd-9cd8-47db-ba9c-299cadc1b2e1,1
"Aug 7, 2025, 8:04:20?PM",931e7732-871e-4289-9f48-09f39440945d,Oshawa,119.77,8.45,Mastercard,COSTCO WHOLESALE,931e7732-871e-4289-9f48-09f39440945d,1
"Sep 15, 2025, 11:16:06?PM",6d3351ec-a6f8-4a50-baec-6d86491cb4d9,Oshawa,31.64,3.64,Debit Card,Great Clips,6d3351ec-a6f8-4a50-baec-6d86491cb4d9,1
"Aug 12, 2025, 6:43:05?PM",a9e6d993-6949-4e08-9bcd-e62c50bb41d0,null,76,null,null,Halalmeat,a9e6d993-6949-4e08-9bcd-e62c50bb41d0,1
"Aug 23, 2025, 11:38:46?AM",54c07ba3-71c2-41fc-8283-f8c0318070e9,null,1.38,null,Cash,mcd coffee,54c07ba3-71c2-41fc-8283-f8c0318070e9,1
"Sep 13, 2025, 1:23:04?AM",34748829-1999-4625-ba53-17019e1db53a,OSHAWA,39.33,2.14,VISA,Walmart,34748829-1999-4625-ba53-17019e1db53a,1
"Aug 24, 2025, 4:29:41?PM",b6141ec5-dc95-44c3-92b2-6ad3214313cd,Oshawa,144.25,6.37,Mastercard,COSTCO WHOLESALE,b6141ec5-dc95-44c3-92b2-6ad3214313cd,1
"Aug 13, 2025, 6:51:38?PM",b1b3d156-d270-4a9d-8ea8-428ba0fc4fd2,Oshawa,1808,208,null,BOSS AUTO SERVICE,b1b3d156-d270-4a9d-8ea8-428ba0fc4fd2,1
"Sep 8, 2025, 3:09:45?AM",64d52603-6abb-4182-bb63-f1a89858bae6,Oshawa,73.62,0.78,CREDIT/VISA,Byrava Supermarket,64d52603-6abb-4182-bb63-f1a89858bae6,1
"Sep 18, 2025, 5:54:10?PM",f6e8bdfc-fa15-473c-b9b3-0c1d0acf94ef,COURTICE,21.21,2.44,DEBIT CARD,SHOPPERS DRUG MART,f6e8bdfc-fa15-473c-b9b3-0c1d0acf94ef,1
"Aug 13, 2025, 6:59:03?PM",d25820e2-dc6e-4cc0-aca1-747ed22372f6,Oshawa,250.74,28.85,DEBIT,Canadian Tire Associate Store 0336,d25820e2-dc6e-4cc0-aca1-747ed22372f6,1
"Sep 25, 2025, 12:45:57?AM",f361abef-7ae4-43ec-9e26-2f7ca04056ca,Oshawa,41.2,4.74,VISA,Chick-fil-A,f361abef-7ae4-43ec-9e26-2f7ca04056ca,1
"Sep 17, 2025, 9:28:30?PM",b5c3d883-24ce-4396-a344-ff7d842a10c9,BRAMPTON,256.05,28.85,DEBIT,COSTCO WHOLESALE,b5c3d883-24ce-4396-a344-ff7d842a10c9,1
"Aug 29, 2025, 2:27:42?AM",5a8a61ca-ae24-4124-884d-203f827ea4f6,WHITBY,94.8,7.76,VISA,Walmart,5a8a61ca-ae24-4124-884d-203f827ea4f6,1
"Aug 13, 2025, 6:55:36?PM",3957fbcc-c350-4e90-aef4-3be5042a0ca3,Oshawa,113,13,null,BOSS AUTO SERVICE,3957fbcc-c350-4e90-aef4-3be5042a0ca3,1
"Sep 24, 2025, 3:57:14?PM",2777c8bd-173a-4b9c-be96-b5a15eea6b00,Oshawa,14.53,1.67,DEBIT CARD,Wilson Foods Kingsway,2777c8bd-173a-4b9c-be96-b5a15eea6b00,1
"Aug 7, 2025, 8:00:10?PM",2e582afd-f890-4573-a871-2177c5601b07,null,42.99,0,VISA,SERV. BAKERY,2e582afd-f890-4573-a871-2177c5601b07,1
"Sep 17, 2025, 9:32:31?PM",e3364ad6-94cd-473b-a82f-059132915c1e,BRAMPTON,40.41,0,VISA,INDIAN FROOTLAND,e3364ad6-94cd-473b-a82f-059132915c1e,1
"Sep 8, 2025, 3:12:26?AM",c89a8b76-8d72-47b9-b7de-f127dff043ee,null,18.4,null,null,Wahid,c89a8b76-8d72-47b9-b7de-f127dff043ee,1
"Aug 12, 2025, 8:49:56?PM",12bce02e-0ec7-4821-aaa5-109d29e8eee4,null,26,null,DEBIT,WATERPARK FOOD,12bce02e-0ec7-4821-aaa5-109d29e8eee4,1
"Aug 16, 2025, 5:49:22?PM",a350de4a-b735-49ff-ae21-24dfbd57ce15,OSHAWA,21.9,2.52,Visa,Shell Canada,a350de4a-b735-49ff-ae21-24dfbd57ce15,1
"Aug 13, 2025, 7:12:33?PM",eac98d80-eab8-4e97-a322-5c7a51ef5b03,OSHAWA,71.64,8.24,Visa,Shell Canada,eac98d80-eab8-4e97-a322-5c7a51ef5b03,1
"Aug 12, 2025, 1:17:51?AM",7230eee0-76f0-46af-81ff-d58bc1344f2d,null,250,null,null,Walmart,7230eee0-76f0-46af-81ff-d58bc1344f2d,1
"Aug 29, 2025, 7:31:34?PM",9381db99-10e6-4431-ae09-8bd1dc6d166e,null,102.83,null,null,Bell internet,9381db99-10e6-4431-ae09-8bd1dc6d166e,1
"Aug 8, 2025, 11:13:20?AM",80fe63c1-25ab-4498-9b39-679bab6abb8e,Oshawa,119.77,8.45,Mastercard,COSTCO WHOLESALE,80fe63c1-25ab-4498-9b39-679bab6abb8e,1
"Aug 24, 2025, 1:57:43?AM",d540c89a-8fb6-4343-8644-2adeed809fd2,Burlington,40.65,4.68,,Charminar Burlington,d540c89a-8fb6-4343-8644-2adeed809fd2,1
"Aug 26, 2025, 1:04:47?PM",c996e878-01a9-43ed-8ae0-754dabe79547,OSHANA,43.58,3.6,Visa,SPORTCHEK,c996e878-01a9-43ed-8ae0-754dabe79547,1
"Aug 17, 2025, 6:37:23?PM",40642b1a-9599-4210-bccd-b689c84ecbc5,Oshawa,39.54,4.55,interac_card,H&M,40642b1a-9599-4210-bccd-b689c84ecbc5,1
"Aug 27, 2025, 7:33:26?PM",0e71a6bb-26b0-4b2b-8d3e-7a5d0254e8e5,Oshawa,19.16,2.2,DEBIT CARD,McDonald's,0e71a6bb-26b0-4b2b-8d3e-7a5d0254e8e5,1
"Sep 3, 2025, 11:16:31?AM",4c393d2f-337c-4cd4-b855-266d3c5d2e0b,Oshawa,183.04,6.62,Mastercard,COSTCO WHOLESALE,4c393d2f-337c-4cd4-b855-266d3c5d2e0b,1
"Aug 9, 2025, 4:59:14?AM",58bc0874-096b-49d1-8cf6-86e9ca368fdd,Oshawa,119.77,8.45,Mastercard,COSTCO WHOLESALE,58bc0874-096b-49d1-8cf6-86e9ca368fdd,1
"Aug 30, 2025, 1:24:31?AM",b1749928-84ca-47d1-8a8a-b189ba37997a,null,14,null,null,GaneshEvent,b1749928-84ca-47d1-8a8a-b189ba37997a,1
"Sep 18, 2025, 5:48:44?PM",0d5e41ec-470b-4547-a2ba-f200612960fd,Oshawa,3.23,0.15,VISA,McDonald's,0d5e41ec-470b-4547-a2ba-f200612960fd,1
"Aug 13, 2025, 10:59:54?PM",0ba02a93-2267-4cf2-be7d-65bb02b0ecf2,Oshawa,38.64,4.92,Debit card,FARM BOY,0ba02a93-2267-4cf2-be7d-65bb02b0ecf2,1
"Aug 25, 2025, 1:53:07?AM",e30cf3a0-5c63-4e02-aaa8-71a9a06ec46a,North York,220.67,25.39,VISA,IKEA,e30cf3a0-5c63-4e02-aaa8-71a9a06ec46a,1
"Aug 12, 2025, 7:31:31?PM",28082fd6-ae82-4b88-8944-8f98f6c9a13d,null,23,null,CASH,COSTCO,28082fd6-ae82-4b88-8944-8f98f6c9a13d,1
"Aug 13, 2025, 10:50:34?PM",98116f25-fc5b-4ce8-8451-5c3708960b05,Robbinsville,34.25,0,VISA CREDIT,Wawa,98116f25-fc5b-4ce8-8451-5c3708960b05,1
"Aug 8, 2025, 2:45:54?AM",22aee4ab-c2fd-4f44-b157-4fa8fe7d752b,Oshawa,71.02,8.17,MASTERCARD,COSTCO WHOLESALE,22aee4ab-c2fd-4f44-b157-4fa8fe7d752b,1
"Sep 8, 2025, 3:08:15?AM",09b8a635-019b-4c2f-9301-1c3055fb19e2,COURTIC,27.21,3.13,DEBIT,SHOPPERS DRUG MART,09b8a635-019b-4c2f-9301-1c3055fb19e2,1
"Sep 17, 2025, 9:20:09?PM",e55f05a2-f50a-4762-8651-4df1beb0809c,BRAMPTON,111.74,11.24,MASTER,WALMART,e55f05a2-f50a-4762-8651-4df1beb0809c,1
"Aug 29, 2025, 2:27:05?AM",965f7a54-9db7-4778-acaf-e93a555ca66d,Oshawa,1.05,0.05,VISA,McDonald's,965f7a54-9db7-4778-acaf-e93a555ca66d,1
"Sep 1, 2025, 8:55:25?PM",ff76a7b4-c520-4138-846a-61a844e7ab8d,null,17.67,null,,Collingwood parking,ff76a7b4-c520-4138-846a-61a844e7ab8d,1
"Sep 1, 2025, 5:37:47?PM",417791db-333d-4cb8-9936-ee80e49b5672,Oshawa,83.46,9.6,Visa,Shell Canada,417791db-333d-4cb8-9936-ee80e49b5672,1
"Aug 8, 2025, 11:15:52?AM",276411f2-e567-4fcb-a4ed-854dbcf1f954,WHITBY,51.18,3.33,DEBIT,Walmart,276411f2-e567-4fcb-a4ed-854dbcf1f954,1
"Sep 16, 2025, 7:12:22?PM",ac8d5724-d016-4b64-8705-ae0e195774a3,Oshawa,61.87,7.12,VISA,DOLLARAMA,ac8d5724-d016-4b64-8705-ae0e195774a3,1
"Sep 24, 2025, 3:56:34?PM",277fce4b-3883-4247-b100-33343778d1c5,OSHAWA,21.99,0,Debit,PANCHVATI SUPERMARKET,277fce4b-3883-4247-b100-33343778d1c5,1
"Aug 17, 2025, 6:38:26?PM",4e87bcf6-5448-47e9-91ec-b6670d45db42,OSHAWA,22.02,0,INTERAC,PIZZA PIZZA,4e87bcf6-5448-47e9-91ec-b6670d45db42,1
"Aug 12, 2025, 7:13:06?PM",fb24bef5-bcca-41d0-bb95-208463694412,null,230,null,CASH,walmart,fb24bef5-bcca-41d0-bb95-208463694412,1
"Aug 31, 2025, 1:29:07?AM",c71f847e-0e7c-4b40-86d1-416bc561af06,null,22,null,null,Pizza,c71f847e-0e7c-4b40-86d1-416bc561af06,1
"Sep 17, 2025, 9:22:07?PM",b7cea157-701f-45cb-b831-8934e259132f,BRAMPTON,105.23,0,VISA,WALMART,b7cea157-701f-45cb-b831-8934e259132f,1
"Sep 15, 2025, 11:16:32?PM",dbf04a04-4cb4-423f-bd2f-4188cf404496,OSHAWA,69.12,0,DEBIT,WHITE FEATHER FARMS,dbf04a04-4cb4-423f-bd2f-4188cf404496,1
"Aug 30, 2025, 7:36:16?PM",fe110c47-98fe-469f-b714-a5ad105a935f,Whitby,18.8,2.16,Visa,PIZZA NOVA,fe110c47-98fe-469f-b714-a5ad105a935f,1
"Aug 17, 2025, 6:32:18?PM",e32c9d7a-efd4-480c-8dc7-d94ef03e5c2e,Oshawa,62.14,7.15,Visa,OLD NAVY,e32c9d7a-efd4-480c-8dc7-d94ef03e5c2e,1
"Aug 12, 2025, 8:00:16?PM",41c6d0d9-8348-4a8c-98ef-df190cd416a4,Stockholm,13.95,0,Credit card,Sonetel AB,41c6d0d9-8348-4a8c-98ef-df190cd416a4,1
"Sep 17, 2025, 9:39:18?PM",131194c4-b37e-4833-b032-897af4656160,BRAMPTON,39.52,4.55,,SIMPLY INDIAN,131194c4-b37e-4833-b032-897af4656160,1
"Sep 22, 2025, 11:00:32?AM",c2adca81-82df-4378-b2da-6724c9f48b08,null,57,null,null,Amazon motion switch,c2adca81-82df-4378-b2da-6724c9f48b08,1
"Aug 13, 2025, 7:14:10?PM",bca3ce2b-0ee6-4085-ae7d-4a3598d3c0d9,AJAX,58.17,4.38,Visa,NAMASTE INDIAN SUPERMARKET,bca3ce2b-0ee6-4085-ae7d-4a3598d3c0d9,1
"Aug 13, 2025, 6:46:39?PM",d4368a18-2b82-4e78-b39c-1263669b5762,COURTICE ON,70.56,8.12,Visa Credit,ESSO CIRCLE K,d4368a18-2b82-4e78-b39c-1263669b5762,1
"Aug 11, 2025, 1:17:15?AM",2dca59f4-0f12-43f1-ad3e-07e3975305e2,BRAMPTON,661.06,76.06,VISA,REEVES AUTO REPAIRS,2dca59f4-0f12-43f1-ad3e-07e3975305e2,1
"Sep 17, 2025, 9:30:47?PM",a54604bc-a6eb-4c7d-92b9-b914ae53efab,,51.13,5.9,DEBIT,MINISO,a54604bc-a6eb-4c7d-92b9-b914ae53efab,1
